Date,Debt,Property,Whisky,Gold
01/03/2005,0.0068,-0.0039,0,0.0063
01/04/2005,0.0068,0.0163,0,0.0018
01/05/2005,0.0069,0.0129,0,0.0492
01/06/2005,0.0068,0.0007,0,0.0117
01/07/2005,0.0069,0.0071,0,-0.0036
01/08/2005,0.0069,0.0053,0,0.0754
01/09/2005,0.0069,-0.0005,0,0.0113
01/10/2005,0.0069,0.0219,0,0.0834
01/11/2005,0.0069,0.0039,0,0.0136
01/12/2005,0.0069,0.0173,0,0.0778
01/01/2006,0.0068,0.0285,0,0.0193
01/02/2006,0.0068,0.0027,0,-0.0115
01/03/2006,0.0068,0.0283,0.0147,0.1282
01/04/2006,0.0069,0.0045,-0.0049,-0.0152
01/05/2006,0.0069,0.0113,-0.0049,-0.1035
01/06/2006,0.007,0.0095,-0.0049,0.0804
01/07/2006,0.007,0.0241,0.0051,-0.04
01/08/2006,0.007,0.0185,-0.0049,-0.0406
01/09/2006,0.007,0.0279,0,0.0141
01/10/2006,0.007,0.0151,0,0.0332
01/11/2006,0.0069,0.0345,0,-0.0365
01/12/2006,0.0067,0.0365,0.0075,0.0087
01/01/2007,0.0065,0.0051,0.0125,0.0761
01/02/2007,0.0064,0.0205,0.0099,-0.0172
01/03/2007,0.0064,0.0107,0.0097,0.0303
01/04/2007,0.0064,0.0219,0.0057,-0.0347
01/05/2007,0.0064,0.0123,0.0056,-0.0097
01/06/2007,0.0062,0.0239,0.008,-0.0118
01/07/2007,0.0059,0.0021,0.0048,0.0236
01/08/2007,0.0057,0.0155,-0.0054,0.0421
01/09/2007,0.0056,0.0131,-0.0165,0.0529
01/10/2007,0.0057,0.0283,-0.0112,0.0454
01/11/2007,0.0058,-0.0161,0.0098,0.0303
01/12/2007,0.0058,-0.0027,0.0193,0.1532
01/01/2008,0.0042,-0.0071,0.0055,0.0329
01/02/2008,0.0041,-0.0071,0.0063,0.0253
01/03/2008,0.0039,-0.0209,-0.0108,-0.0297
01/04/2008,0.0035,-0.0195,-0.0054,-0.0376
01/05/2008,0.0031,-0.0587,-0.0094,-0.0002
01/06/2008,0.0026,-0.0183,-0.0095,0.0351
01/07/2008,0.0023,-0.0337,-0.004,-0.0492
01/08/2008,0.0021,-0.0357,0.0259,0.023
01/09/2008,0.0022,-0.0333,0.0111,0.1164
01/10/2008,0.0025,-0.0217,-0.0179,-0.0768
01/11/2008,0.0029,0.0007,-0.0095,0.0947
01/12/2008,0.0032,-0.0485,-0.0024,0.1314
01/01/2009,0.0046,-0.0219,0.0153,0.0753
01/02/2009,0.0047,-0.0301,0.0159,0.0641
01/03/2009,0.0049,0.0227,0.0156,-0.1004
01/04/2009,0.0051,-0.0001,-0.0015,-0.0055
01/05/2009,0.0051,0.0219,-0.0138,0.0178
01/06/2009,0.0053,0.0257,-0.0177,-0.0594
01/07/2009,0.0054,0.0345,-0.0304,-0.0113
01/08/2009,0.0055,0.0371,0.001,0.0627
01/09/2009,0.0056,0.0209,0.0245,0.0476
01/10/2009,0.0056,0.0177,-0.0079,0.0102
01/11/2009,0.0055,0.0157,-0.0112,0.133
01/12/2009,0.0054,0.0131,0.0061,-0.0571
01/01/2010,0.0052,0.0297,0.0448,-0.0035
01/02/2010,0.0051,-0.0209,0.0255,0.104
01/03/2010,0.0051,0.0185,0.0272,-0.0193
01/04/2010,0.0052,0.0287,-0.0022,0.0538
01/05/2010,0.0052,0.0057,0.0243,0.0841
01/06/2010,0.0053,0.0063,0.0173,-0.092
01/07/2010,0.0053,-0.0051,-0.0158,0.0651
01/08/2010,0.0054,-0.0135,-0.0053,0.0259
01/09/2010,0.0056,0.0045,0.0159,0.028
01/10/2010,0.0057,-0.0161,-0.0207,0.0401
01/11/2010,0.0057,-0.0059,0.0085,0.0194
01/12/2010,0.0057,0.0101,0.0119,-0.0556
01/01/2011,0.006,-0.0003,0.0128,0.032
01/02/2011,0.006,0.0045,-0.0105,0.0251
01/03/2011,0.006,0.0241,0.0234,0.0248
01/04/2011,0.006,0.0009,0.0146,0.0261
01/05/2011,0.006,0.0051,-0.0153,0.0038
01/06/2011,0.006,0.0087,-0.0052,0.0537
01/07/2011,0.006,0.0111,-0.0083,0.1231
01/08/2011,0.006,-0.0141,0.0113,0.0161
01/09/2011,0.006,0.0081,0.041,-0.091
01/10/2011,0.006,0.0039,0.002,0.043
01/11/2011,0.006,0.0105,0.008,-0.0412
01/12/2011,0.006,-0.0045,0.006,0.0395
01/01/2012,0.0055,-0.0069,0.0597,0.0208
01/02/2012,0.0055,0.0113,0.0403,-0.048
01/03/2012,0.0055,-0.0113,0.0688,-0.0172
01/04/2012,0.0055,0.0003,0.0187,-0.0152
01/05/2012,0.0055,0.0075,-0.0317,0.0308
01/06/2012,0.0055,-0.0053,0.0215,-0.031
01/07/2012,0.0055,-0.0101,-0.0013,0.0231
01/08/2012,0.0055,0.0231,0.0246,0.0626
01/09/2012,0.0055,-0.0041,0.0373,-0.0083
01/10/2012,0.0055,0.0107,0.0172,-0.0032
01/11/2012,0.0055,0.0057,-0.0363,-0.0304
01/12/2012,0.0055,-0.0015,0.0218,-0.0105
01/01/2013,0.0063,0.0125,0.0047,0.0193
01/02/2013,0.0063,0.0093,0.0223,-0.0043
01/03/2013,0.0063,0.0081,0.0223,-0.0787
01/04/2013,0.0063,0.0009,0.0015,-0.0324
01/05/2013,0.0063,0.0131,0.0401,-0.0607
01/06/2013,0.0063,0.0117,0.0442,-0.0353
01/07/2013,0.0063,0.0291,-0.0086,0.0131
01/08/2013,0.0063,0.0127,-0.016,0
01/09/2013,0.0063,0.0275,0.0048,-0.0751
01/10/2013,0.0063,0.0231,0.012,0.0082
01/11/2013,0.0063,0.0201,-0.0023,-0.0476
01/12/2013,0.0063,0.0309,0.0596,-0.0269
01/01/2014,0.0058,0.0203,0.0554,0.0351
01/02/2014,0.0058,0.0213,0.021,0.0433
01/03/2014,0.0058,0.0117,-0.0072,-0.0314
01/04/2014,0.0058,0.0249,0.0076,-0.0201
01/05/2014,0.0058,0.0175,0.0409,-0.0245
01/06/2014,0.0058,0.0273,0.0414,0.0307
01/07/2014,0.0058,0.0065,-0.008,0.013
01/08/2014,0.0058,0.0193,0.0575,-0.0025
01/09/2014,0.0058,-0.0005,0.0121,-0.0344
01/10/2014,0.0058,0.0135,-0.0252,-0.0459
01/11/2014,0.0058,0.0113,-0.0319,0.0682
01/12/2014,0.0058,0.0055,-0.0044,0.0117
01/01/2015,0.0068,0.0113,0.0329,0.076
01/02/2015,0.0068,0.0023,0.04,-0.0554
01/03/2015,0.0068,0.0017,-0.0109,0.024
01/04/2015,0.0068,0.0239,0.089,-0.0252
01/05/2015,0.0068,0.0095,-0.0415,-0.0159
01/06/2015,0.0068,0.0007,0.0222,-0.03
01/07/2015,0.0068,0.0117,-0.016,-0.0676
01/08/2015,0.0068,0.0111,0.0734,0.0632
01/09/2015,0.0068,0.0137,-0.0547,-0.0114
01/10/2015,0.0068,0.0145,0.0125,0.006
01/11/2015,0.0068,0.0069,0.0107,-0.0452
01/12/2015,0.0068,0.0195,0.0087,0.0953