Date,Debt,Property,Whisky,Gold,Stock & Bond
01/03/2005,0.0068,-0.0039,0.0000,0.0063,0.0000
01/04/2005,0.0068,0.0163,0.0000,0.0018,-0.0183
01/05/2005,0.0069,0.0129,0.0000,0.0492,0.0279
01/06/2005,0.0068,0.0007,0.0000,0.0117,0.0065
01/07/2005,0.0069,0.0071,0.0000,-0.0036,0.0342
01/08/2005,0.0069,0.0053,0.0000,0.0754,-0.0010
01/09/2005,0.0069,-0.0005,0.0000,0.0113,0.0122
01/10/2005,0.0069,0.0219,0.0000,0.0834,-0.0197
01/11/2005,0.0069,0.0039,0.0000,0.0136,0.0339
01/12/2005,0.0069,0.0173,0.0000,0.0778,0.0094
01/01/2006,0.0068,0.0285,0.0000,0.0193,0.0343
01/02/2006,0.0068,0.0027,0.0000,-0.0115,-0.0005
01/03/2006,0.0068,0.0283,0.0147,0.1282,0.0161
01/04/2006,0.0069,0.0045,-0.0049,-0.0152,0.0159
01/05/2006,0.0069,0.0113,-0.0049,-0.1035,-0.0286
01/06/2006,0.0070,0.0095,-0.0049,0.0804,0.0011
01/07/2006,0.0070,0.0241,0.0051,-0.0400,0.0037
01/08/2006,0.0070,0.0185,-0.0049,-0.0406,0.0231
01/09/2006,0.0070,0.0279,0.0000,0.0141,0.0185
01/10/2006,0.0070,0.0151,0.0000,0.0332,0.0323
01/11/2006,0.0069,0.0345,0.0000,-0.0365,0.0227
01/12/2006,0.0067,0.0365,0.0075,0.0087,0.0134
01/01/2007,0.0065,0.0051,0.0125,0.0761,0.0142
01/02/2007,0.0064,0.0205,0.0099,-0.0172,-0.0107
01/03/2007,0.0064,0.0107,0.0097,0.0303,0.0121
01/04/2007,0.0064,0.0219,0.0057,-0.0347,0.0367
01/05/2007,0.0064,0.0123,0.0056,-0.0097,0.0298
01/06/2007,0.0062,0.0239,0.0080,-0.0118,-0.0109
01/07/2007,0.0059,0.0021,0.0048,0.0236,-0.0236
01/08/2007,0.0057,0.0155,-0.0054,0.0421,0.0105
01/09/2007,0.0056,0.0131,-0.0165,0.0529,0.0359
01/10/2007,0.0057,0.0283,-0.0112,0.0454,0.0239
01/11/2007,0.0058,-0.0161,0.0098,0.0303,-0.0354
01/12/2007,0.0058,-0.0027,0.0193,0.1532,-0.0076
01/01/2008,0.0042,-0.0071,0.0055,0.0329,-0.0558
01/02/2008,0.0041,-0.0071,0.0063,0.0253,-0.0232
01/03/2008,0.0039,-0.0209,-0.0108,-0.0297,-0.0048
01/04/2008,0.0035,-0.0195,-0.0054,-0.0376,0.0456
01/05/2008,0.0031,-0.0587,-0.0094,-0.0002,0.0154
01/06/2008,0.0026,-0.0183,-0.0095,0.0351,-0.0759
01/07/2008,0.0023,-0.0337,-0.0040,-0.0492,-0.0116
01/08/2008,0.0021,-0.0357,0.0259,0.0230,0.0045
01/09/2008,0.0022,-0.0333,0.0111,0.1164,-0.0892
01/10/2008,0.0025,-0.0217,-0.0179,-0.0768,-0.1662
01/11/2008,0.0029,0.0007,-0.0095,0.0947,-0.0593
01/12/2008,0.0032,-0.0485,-0.0024,0.1314,0.0273
01/01/2009,0.0046,-0.0219,0.0153,0.0753,-0.0806
01/02/2009,0.0047,-0.0301,0.0159,0.0641,-0.0918
01/03/2009,0.0049,0.0227,0.0156,-0.1004,0.0808
01/04/2009,0.0051,-0.0001,-0.0015,-0.0055,0.0921
01/05/2009,0.0051,0.0219,-0.0138,0.0178,0.0583
01/06/2009,0.0053,0.0257,-0.0177,-0.0594,0.0013
01/07/2009,0.0054,0.0345,-0.0304,-0.0113,0.0713
01/08/2009,0.0055,0.0371,0.0010,0.0627,0.0327
01/09/2009,0.0056,0.0209,0.0245,0.0476,0.0388
01/10/2009,0.0056,0.0177,-0.0079,0.0102,-0.0189
01/11/2009,0.0055,0.0157,-0.0112,0.1330,0.0477
01/12/2009,0.0054,0.0131,0.0061,-0.0571,0.0133
01/01/2010,0.0052,0.0297,0.0448,-0.0035,-0.0276
01/02/2010,0.0051,-0.0209,0.0255,0.1040,0.0226
01/03/2010,0.0051,0.0185,0.0272,-0.0193,0.0509
01/04/2010,0.0052,0.0287,-0.0022,0.0538,0.0151
01/05/2010,0.0052,0.0057,0.0243,0.0841,-0.0661
01/06/2010,0.0053,0.0063,0.0173,-0.0920,-0.0360
01/07/2010,0.0053,-0.0051,-0.0158,0.0651,0.0652
01/08/2010,0.0054,-0.0135,-0.0053,0.0259,-0.0324
01/09/2010,0.0056,0.0045,0.0159,0.0280,0.0790
01/10/2010,0.0057,-0.0161,-0.0207,0.0401,0.0315
01/11/2010,0.0057,-0.0059,0.0085,0.0194,-0.0056
01/12/2010,0.0057,0.0101,0.0119,-0.0556,0.0571
01/01/2011,0.0060,-0.0003,0.0128,0.0320,0.0145
01/02/2011,0.0060,0.0045,-0.0105,0.0251,0.0286
01/03/2011,0.0060,0.0241,0.0234,0.0248,0.0017
01/04/2011,0.0060,0.0009,0.0146,0.0261,0.0334
01/05/2011,0.0060,0.0051,-0.0153,0.0038,-0.0122
01/06/2011,0.0060,0.0087,-0.0052,0.0537,-0.0150
01/07/2011,0.0060,0.0111,-0.0083,0.1231,-0.0161
01/08/2011,0.0060,-0.0141,0.0113,0.0161,-0.0556
01/09/2011,0.0060,0.0081,0.0410,-0.0910,-0.0729
01/10/2011,0.0060,0.0039,0.0020,0.0430,0.0887
01/11/2011,0.0060,0.0105,0.0080,-0.0412,-0.0093
01/12/2011,0.0060,-0.0045,0.0060,0.0395,0.0006
01/01/2012,0.0055,-0.0069,0.0597,0.0208,0.0479
01/02/2012,0.0055,0.0113,0.0403,-0.0480,0.0357
01/03/2012,0.0055,-0.0113,0.0688,-0.0172,0.0144
01/04/2012,0.0055,0.0003,0.0187,-0.0152,-0.0056
01/05/2012,0.0055,0.0075,-0.0317,0.0308,-0.0597
01/06/2012,0.0055,-0.0053,0.0215,-0.0310,0.0358
01/07/2012,0.0055,-0.0101,-0.0013,0.0231,0.0099
01/08/2012,0.0055,0.0231,0.0246,0.0626,0.0208
01/09/2012,0.0055,-0.0041,0.0373,-0.0083,0.0230
01/10/2012,0.0055,0.0107,0.0172,-0.0032,-0.0081
01/11/2012,0.0055,0.0057,-0.0363,-0.0304,0.0090
01/12/2012,0.0055,-0.0015,0.0218,-0.0105,0.0161
01/01/2013,0.0063,0.0125,0.0047,0.0193,0.0373
01/02/2013,0.0063,0.0093,0.0223,-0.0043,0.0054
01/03/2013,0.0063,0.0081,0.0223,-0.0787,0.0239
01/04/2013,0.0063,0.0009,0.0015,-0.0324,0.0197
01/05/2013,0.0063,0.0131,0.0401,-0.0607,0.0024
01/06/2013,0.0063,0.0117,0.0442,-0.0353,-0.0188
01/07/2013,0.0063,0.0291,-0.0086,0.0131,0.0421
01/08/2013,0.0063,0.0127,-0.0160,0.0000,-0.0210
01/09/2013,0.0063,0.0275,0.0048,-0.0751,0.0397
01/10/2013,0.0063,0.0231,0.0120,0.0082,0.0332
01/11/2013,0.0063,0.0201,-0.0023,-0.0476,0.0159
01/12/2013,0.0063,0.0309,0.0596,-0.0269,0.0166
01/01/2014,0.0058,0.0203,0.0554,0.0351,-0.0261
01/02/2014,0.0058,0.0213,0.0210,0.0433,0.0405
01/03/2014,0.0058,0.0117,-0.0072,-0.0314,0.0039
01/04/2014,0.0058,0.0249,0.0076,-0.0201,0.0050
01/05/2014,0.0058,0.0175,0.0409,-0.0245,0.0184
01/06/2014,0.0058,0.0273,0.0414,0.0307,0.0188
01/07/2014,0.0058,0.0065,-0.0080,0.0130,-0.0148
01/08/2014,0.0058,0.0193,0.0575,-0.0025,0.0280
01/09/2014,0.0058,-0.0005,0.0121,-0.0344,-0.0252
01/10/2014,0.0058,0.0135,-0.0252,-0.0459,0.0171
01/11/2014,0.0058,0.0113,-0.0319,0.0682,0.0144
01/12/2014,0.0058,0.0055,-0.0044,0.0117,-0.0082
01/01/2015,0.0068,0.0113,0.0329,0.0760,-0.0108
01/02/2015,0.0068,0.0023,0.0400,-0.0554,0.0432
01/03/2015,0.0068,0.0017,-0.0109,0.0240,-0.0084
01/04/2015,0.0068,0.0239,0.0890,-0.0252,0.0136
01/05/2015,0.0068,0.0095,-0.0415,-0.0159,0.0044
01/06/2015,0.0068,0.0007,0.0222,-0.0300,-0.0181
01/07/2015,0.0068,0.0117,-0.0160,-0.0676,0.0082
01/08/2015,0.0068,0.0111,0.0734,0.0632,-0.0527
01/09/2015,0.0068,0.0137,-0.0547,-0.0114,-0.0251
01/10/2015,0.0068,0.0145,0.0125,0.0060,0.0578
01/11/2015,0.0068,0.0069,0.0107,-0.0452,-0.0017
01/12/2015,0.0068,0.0195,0.0087,0.0953,-0.0170